65	79	144	112	188	56
97	45	137	151	27	200
136	13	127	167	11	11
56	5	142	186	125	15
36	38	43	35	89	162
104	191	137	90	93	61
108	118	183	51	171	39
62	193	194	125	136	73
179	89	90	109	137	44
148	118	71	52	135	46
89	121	15	192	150	99
97	23	46	183	55	74
15	185	44	23	15	111
127	140	81	11	121	199
27	154	154	109	197	103
103	19	51	102	32	173
107	121	142	111	187	8
94	84	167	85	72	174
41	166	125	182	70	140
180	52	163	160	158	72
183	80	159	117	76	177
17	101	140	123	62	151
67	162	131	111	55	52
164	139	142	112	27	93
137	163	195	162	182	122
152	135	72	164	118	126
141	182	148	98	156	4
31	86	152	130	42	81
83	181	176	54	172	184
113	12	70	155	53	92
78	34	144	35	26	11
82	137	66	139	94	85
171	59	143	14	73	173
147	141	167	100	154	200
144	197	62	122	117	178
139	132	5	109	58	15
165	167	155	80	8	153
156	118	107	173	41	13
113	51	27	148	161	112
152	185	172	157	55	42
48	105	174	118	31	169
190	9	190	69	102	97
191	180	85	144	192	123
104	58	33	176	129	101
141	77	176	78	168	126
103	144	6	49	173	37
31	10	159	114	97	65
99	195	15	107	164	12
85	41	121	195	138	80
76	41	22	146	185	76
79	166	98	69	27	87
46	96	75	99	191	130
168	184	139	172	4	176
183	98	121	76	4	11
81	57	95	102	120	197
82	190	112	95	134	78
42	138	45	186	16	64
100	107	171	95	121	9
30	30	39	24	147	94
59	37	181	56	51	134
75	88	175	70	163	188
28	10	14	65	126	89
24	84	20	136	75	100
13	152	90	111	155	175
131	174	127	153	194	113
167	146	142	44	146	73
130	175	27	63	5	127
8	11	171	156	1	55
181	116	180	168	23	178
39	144	52	141	120	27
21	173	151	193	44	13
20	164	93	78	8	25
198	24	128	134	47	19
63	122	182	125	136	39
74	29	136	133	87	151
186	196	105	66	108	135
167	173	96	3	83	161
166	160	147	181	72	47
10	54	172	173	174	8
58	188	188	74	166	49
146	89	130	104	194	38
59	125	29	20	89	83
189	8	7	69	122	134
158	83	124	116	80	85
179	70	8	64	87	39
186	66	59	140	145	143
12	36	78	27	74	66
25	172	94	98	157	74
12	46	18	1	161	198
142	133	119	82	62	66
53	119	199	197	43	120
69	108	99	157	55	136
188	13	101	108	93	92
135	22	130	79	163	118
102	108	38	167	15	41
18	191	178	197	157	65
56	176	59	32	147	83
179	30	14	14	130	89
177	84	21	33	174	131
115	55	144	14	151	37
73	153	122	38	172	62
83	111	60	15	160	31
8	182	160	52	68	89
83	61	192	185	96	187
185	177	74	88	150	166
91	124	53	144	65	100
48	142	155	25	147	49
126	174	177	84	185	163
50	113	93	165	103	133
107	91	131	87	108	112
200	174	172	94	8	115
180	93	146	151	62	29
166	65	28	86	162	194
198	72	164	93	198	59
165	129	114	165	34	178
108	138	156	80	116	184
42	186	137	150	182	135
4	11	180	68	115	180
153	153	168	62	156	138
132	142	81	126	163	125
11	112	65	12	87	188
3	65	9	143	193	64
173	96	104	23	10	58
69	99	174	197	194	66
188	200	27	113	75	35
81	70	20	44	175	75
73	154	198	172	124	154
66	157	54	20	64	155
22	90	113	6	112	157
57	31	177	14	169	198
130	37	167	57	89	56
73	88	162	162	198	54
23	21	20	3	117	67
165	160	18	13	154	171
62	100	100	57	25	29
136	39	128	133	40	126
8	45	122	19	104	135
187	32	188	170	121	54
7	152	199	30	183	102
80	190	87	48	191	45
178	19	82	120	170	50
155	115	138	129	188	188
188	140	36	188	8	78
156	142	153	52	139	168
168	72	76	105	74	4
164	178	76	72	24	43
22	106	29	2	164	127
12	152	195	101	142	170
64	94	129	171	28	76
66	195	128	116	175	37
134	118	176	173	59	49
94	10	114	90	190	120
194	133	77	14	166	17
85	164	129	101	48	186
27	23	28	154	60	156
187	119	155	47	4	138
175	7	136	194	174	125
26	159	128	148	129	162
148	41	91	108	111	127
101	43	95	172	43	13
163	121	135	90	94	35
128	97	100	14	98	29
69	15	89	115	80	158
114	83	2	56	87	25
199	168	135	106	141	147
89	131	69	137	153	61
86	11	136	103	20	122
40	86	184	62	101	109
177	110	130	71	3	82
156	166	87	145	13	92
128	61	104	150	186	20
57	104	76	197	46	104
25	119	120	29	124	165
44	94	3	35	184	116
3	25	175	158	151	100
2	4	192	94	140	167
164	25	42	44	161	53
132	28	34	11	43	15
197	200	171	9	187	129
